"","experimentPhase","trialnum","subject","task","noisePercent","targetLeftRightIfOne","answerPos0","answer0","response0","correct0","responsePosRelative0","answerPos1","answer1","response1","correct1","responsePosRelative1","timingBlips"
"1","main",0,"yxuuh cnbc","T1",1,"left",15,"G","B",0,1,NA,"NaN","NaN",NA,NA,0
"2","main",1,"yxuuh cnbc","T1",1,"left",11,"Y","Z",0,1,NA,"NaN","NaN",NA,NA,0
"3","main",2,"yxuuh cnbc","T1",1,"right",9,"P","A",0,1,NA,"NaN","NaN",NA,NA,0
"4","main",3,"yxuuh cnbc","T1T2",1,"right",13,"S","S",1,0,13,"A","K",0,-6,0
"5","main",4,"yxuuh cnbc","T1",1,"left",17,"M","W",0,-1,NA,"NaN","NaN",NA,NA,0
"6","main",5,"yxuuh cnbc","T1T2",1,"right",9,"D","W",0,1,9,"Z","W",0,-1,0
"7","main",6,"yxuuh cnbc","T1T2",1,"right",11,"G","P",0,1,11,"I","I",1,0,0
"8","main",7,"yxuuh cnbc","T1T2",1,"right",13,"L","M",0,-1,13,"G","X",0,1,0
"9","main",8,"yxuuh cnbc","T1",1,"right",7,"F","F",1,0,NA,"NaN","NaN",NA,NA,0
"10","main",9,"yxuuh cnbc","T1",1,"right",13,"P","P",1,0,NA,"NaN","NaN",NA,NA,0
"11","main",10,"yxuuh cnbc","T1",1,"right",15,"Q","P",0,7,NA,"NaN","NaN",NA,NA,0
"12","main",11,"yxuuh cnbc","T1",1,"left",7,"P","P",1,0,NA,"NaN","NaN",NA,NA,0
"13","main",12,"yxuuh cnbc","T1T2",1,"left",7,"Y","D",0,1,7,"E","X",0,-6,0
"14","main",13,"yxuuh cnbc","T1",1,"right",13,"H","W",0,-1,NA,"NaN","NaN",NA,NA,0
"15","main",14,"yxuuh cnbc","T1T2",1,"right",7,"F","U",0,6,7,"R","F",0,14,0
"16","main",15,"yxuuh cnbc","T1T2",1,"right",17,"C","C",1,0,17,"Z","Z",1,0,0
"17","main",16,"yxuuh cnbc","T1",1,"right",9,"Y","M",0,1,NA,"NaN","NaN",NA,NA,0
"18","main",17,"yxuuh cnbc","T1T2",1,"right",15,"R","K",0,-11,15,"A","R",0,4,0
"19","main",18,"yxuuh cnbc","T1",1,"right",17,"E","E",1,0,NA,"NaN","NaN",NA,NA,0
"20","main",19,"yxuuh cnbc","T1T2",1,"left",15,"U","A",0,1,15,"Y","Z",0,1,0
"21","main",20,"yxuuh cnbc","T1",1,"left",9,"P","B",0,-3,NA,"NaN","NaN",NA,NA,0
"22","main",21,"yxuuh cnbc","T1T2",1,"right",15,"A","A",1,0,15,"S","P",0,1,0
"23","main",22,"yxuuh cnbc","T1T2",1,"left",9,"M","M",1,0,9,"S","S",1,0,0
"24","main",23,"yxuuh cnbc","T1T2",1,"left",17,"L","M",0,-5,17,"P","K",0,-12,0
"25","main",24,"yxuuh cnbc","T1T2",1,"right",9,"D","V",0,14,9,"E","M",0,10,0
"26","main",25,"yxuuh cnbc","T1",1,"left",7,"N","F",0,1,NA,"NaN","NaN",NA,NA,0
"27","main",26,"yxuuh cnbc","T1T2",1,"left",15,"L","S",0,-1,15,"E","L",0,-12,0
"28","main",27,"yxuuh cnbc","T1",1,"right",11,"X","X",1,0,NA,"NaN","NaN",NA,NA,0
"29","main",28,"yxuuh cnbc","T1",1,"left",13,"P","P",1,0,NA,"NaN","NaN",NA,NA,0
"30","main",29,"yxuuh cnbc","T1",1,"left",17,"L","P",0,1,NA,"NaN","NaN",NA,NA,0
"31","main",30,"yxuuh cnbc","T1",1,"left",11,"U","P",0,1,NA,"NaN","NaN",NA,NA,0
"32","main",31,"yxuuh cnbc","T1T2",1,"left",17,"N","X",0,1,17,"T","F",0,-4,0
"33","main",32,"yxuuh cnbc","T1",1,"left",13,"I","P",0,1,NA,"NaN","NaN",NA,NA,0
"34","main",33,"yxuuh cnbc","T1",1,"right",7,"O","O",1,0,NA,"NaN","NaN",NA,NA,0
"35","main",34,"yxuuh cnbc","T1T2",1,"right",7,"L","M",0,-1,7,"B","B",1,0,0
"36","main",35,"yxuuh cnbc","T1T2",1,"left",11,"B","M",0,5,11,"W","B",0,-9,0
"37","main",36,"yxuuh cnbc","T1T2",1,"right",11,"T","X",0,2,11,"Z","C",0,11,0
"38","main",37,"yxuuh cnbc","T1",1,"left",15,"R","R",1,0,NA,"NaN","NaN",NA,NA,0
"39","main",38,"yxuuh cnbc","T1T2",1,"left",7,"S","X",0,13,7,"E","S",0,11,0
"40","main",39,"yxuuh cnbc","T1",1,"right",15,"N","X",0,-1,NA,"NaN","NaN",NA,NA,0
"41","main",40,"yxuuh cnbc","T1",1,"left",9,"L","A",0,1,NA,"NaN","NaN",NA,NA,0
"42","main",41,"yxuuh cnbc","T1T2",1,"right",17,"S","S",1,0,17,"X","W",0,-1,0
"43","main",42,"yxuuh cnbc","T1T2",1,"left",9,"M","Q",0,8,9,"Q","M",0,6,0
"44","main",43,"yxuuh cnbc","T1T2",1,"left",13,"H","W",0,3,13,"I","H",0,2,0
"45","main",44,"yxuuh cnbc","T1",1,"right",11,"N","W",0,-6,NA,"NaN","NaN",NA,NA,0
"46","main",45,"yxuuh cnbc","T1",1,"right",17,"I","I",1,0,NA,"NaN","NaN",NA,NA,0
"47","main",46,"yxuuh cnbc","T1T2",1,"left",11,"D","C",0,1,11,"A","A",1,0,0
"48","main",47,"yxuuh cnbc","T1T2",1,"left",13,"W","W",1,0,13,"U","U",1,0,0
"49","main",48,"yxuuh cnbc","T1T2",1,"right",15,"Y","P",0,-10,15,"T","T",1,0,0
"50","main",49,"yxuuh cnbc","T1T2",1,"left",7,"Q","B",0,2,7,"L","X",0,12,0
"51","main",50,"yxuuh cnbc","T1T2",1,"right",17,"N","M",0,3,17,"W","W",1,0,0
"52","main",51,"yxuuh cnbc","T1T2",1,"right",9,"U","P",0,-6,9,"W","U",0,15,0
"53","main",52,"yxuuh cnbc","T1",1,"left",7,"X","M",0,13,NA,"NaN","NaN",NA,NA,0
"54","main",53,"yxuuh cnbc","T1",1,"right",17,"K","K",1,0,NA,"NaN","NaN",NA,NA,0
"55","main",54,"yxuuh cnbc","T1T2",1,"right",7,"U","B",0,1,7,"G","U",0,4,0
"56","main",55,"yxuuh cnbc","T1",1,"right",13,"Q","Q",1,0,NA,"NaN","NaN",NA,NA,1
"57","main",56,"yxuuh cnbc","T1T2",1,"right",15,"U","X",0,1,15,"P","P",1,0,0
"58","main",57,"yxuuh cnbc","T1T2",1,"left",15,"U","U",1,0,15,"Q","P",0,-1,0
"59","main",58,"yxuuh cnbc","T1T2",1,"left",11,"T","X",0,-10,11,"X","B",0,13,0
